"Priority","Organization","Segment","Recipient Email","Recipient Verification","Subject","Packet Attachment","Draft Status","Send Approval","Follow-Up Date","Notes"
"1","Platte County Hospital / Banner Health","Healthcare Anchor","","Needs verified email","Wheatland rural transportation-access pilot discussion","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Queued","Required","","Care-coordination call; referral workflow; unmet-need validation; support letter; readiness-fee discussion"
"2","Banner Health Clinic - Wheatland","Healthcare Anchor","","Needs verified email","Wheatland rural transportation-access pilot discussion","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Queued","Required","","Recurring appointment ride-block discussion and care-access workflow"
"3","Platte County Hospital Physical Therapy and Rehabilitation","Healthcare Anchor","","Needs verified email","Wheatland rural transportation-access pilot discussion","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Queued","Required","","Rehab recurring ride demand validation and support-letter discussion"
"4","Platte County Hospital District","Healthcare / Public Partner","","Needs verified email","Wheatland rural transportation-access pilot discussion","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Queued","Required","","Local healthcare-access need validation and support-letter discussion"
"5","Platte County Hospital Foundation Board","Healthcare / Philanthropy","","Needs verified email","Wheatland transportation-access sponsorship discussion","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Queued","Required","","Community-benefit support and sponsor/referral discussion"
"6","Platte County Public Health","County / Public Health","phnwheatland@wyo.gov","Verified from Wyoming Department of Health county office listing","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Draft created r7222640378408655263","Required","","Priority-route input; unmet-need validation; support letter; public-health referral workflow"
"7","Platte County Commissioners","County / Public Health","commissioners@plattecountywyoming.com","Verified from Platte County Commissioners contact listing","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Draft created r3717611468159806233","Required","","Work session request; support letter; local-match discussion; county mobility need validation"
"8","Town of Wheatland","County / Public Health","clerk@townofwheatlandwy.org","Verified from Town of Wheatland contact listing","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Draft created r4977838429688614718","Required","","Local launch coordination; public-meeting route; community referral visibility"
"9","Platte County Emergency Management","County / Public Health","emergmgmt@plattecountywyoming.com","Verified from Platte County Emergency Management contact listing","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Draft created r-6943474154677482232","Required","","Weather and emergency operating input; continuity planning"
"10","Platte County Department of Family Services","County / Public Health","","Needs verified email","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Queued","Required","","Human-services transportation barrier validation and referral limits"
"11","Services for Seniors - Wheatland Main Office","Senior Services","jeni@sfswy.org","Verified from Wyoming 211 service listing","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Draft created r-4902884378913390524","Required","","Senior rider needs; route feedback; support letter; sponsor-funded ride block"
"12","Services for Seniors - Guernsey Center","Senior Services","","Needs verified email","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Queued","Required","","Future Platte County expansion demand validation after Wheatland core"
"13","Services for Seniors - Chugwater Center","Senior Services","","Needs verified email","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Queued","Required","","Future south-Platte demand validation after Wheatland core"
"14","Services for Seniors - Glendo Center","Senior Services","","Needs verified email","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Queued","Required","","Future north-Platte demand validation after Wheatland core"
"15","Wyoming Veterans Commission - Platte/Laramie VSO","Veterans Partner","douglas.miles@wyo.gov","Verified from Wyoming 211 VSO listing; official Military Department page confirms Platte/Laramie VSO phone route","Veteran transportation operator partnership discussion","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Draft created r-2368060229530123402","Required","","Veteran ride needs; VSO support letter; grant-partner route discussion"
"16","Wyoming Independent Living","Disability Partner","info@wilr.org","Verified from ADRC Wyoming service listing","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Draft created r7319158691328004821","Required","","Disability-access feedback; ADA-adjacent operating review; support-letter discussion"
"17","Platte County Chamber of Commerce","Sponsor / Business Hub","director@plattechamber.com","Verified from Platte County Chamber staff listing","Wheatland transportation-access sponsorship discussion","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Draft created r-5425931006660863404","Required","","Sponsor introductions; employer ride-access interest; community visibility"
"18","Platte County Economic Development","Sponsor / Business Hub","jyoung@pcedwy.org","Verified from Platte County Economic Development contact listing","Wheatland transportation-access sponsorship discussion","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Draft created r4799418887640571823","Required","","Employer mobility need; sponsor prospects; workforce-access pilot discussion"
"19","Wyoming Workforce Center - Wheatland","Workforce Partner","","Needs verified email","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Queued","Required","","Workforce-access transportation barriers and employer referral opportunities"
"20","Platte County School District #1","Community Partner","","Needs verified email","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Queued","Required","","Family/community transportation-barrier validation and non-school service referral guardrails"
